Tick 5312(5310), Delay 27 ms, IGT 04:25.500, RTA 06:11.297-06:11.324
Tick 5473(5471), Delay 11816 ms, IGT 04:33.550, RTA 06:19.328-06:31.144
Tick 5517(5515), Delay 55 ms, IGT 04:35.750, RTA 06:33.293-06:33.348
Tick 5601(5599), Delay 908 ms, IGT 04:39.950, RTA 06:37.494-06:38.402
Tick 5610(5608), Delay 1124 ms, IGT 04:40.400, RTA 06:38.806-06:39.930
Tick 5635(5633), Delay 1060 ms, IGT 04:41.650, RTA 06:41.130-06:42.190
Tick 5654(5652), Delay 1465 ms, IGT 04:42.600, RTA 06:43.091-06:44.556
Tick 5659(5657), Delay 45 ms, IGT 04:42.850, RTA 06:44.758-06:44.803
Tick 5784(5782), Delay 45 ms, IGT 04:49.100, RTA 06:51.008-06:51.053
Tick 5787(5785), Delay 9183 ms, IGT 04:49.250, RTA 06:51.157-07:00.340
Tick 5815(5813), Delay 921 ms, IGT 04:50.650, RTA 07:01.689-07:02.610
Tick 5929(5927), Delay 2403 ms, IGT 04:56.350, RTA 07:08.258-07:10.661
Tick 5993(5991), Delay 68839 ms, IGT 04:59.550, RTA 07:13.810-08:22.649
Tick 6011(6009), Delay 6270 ms, IGT 05:00.450, RTA 08:23.499-08:29.769
Tick 6056(6054), Delay 912 ms, IGT 05:02.700, RTA 08:31.971-08:32.883
Tick 6132(6130), Delay 55 ms, IGT 05:06.500, RTA 08:36.629-08:36.684
Tick 6140(6138), Delay 55 ms, IGT 05:06.900, RTA 08:37.031-08:37.086
Tick 6155(6153), Delay 57 ms, IGT 05:07.650, RTA 08:37.782-08:37.839
Tick 6156(6154), Delay 41 ms, IGT 05:07.700, RTA 08:37.839-08:37.880
Tick 6157(6155), Delay 55 ms, IGT 05:07.750, RTA 08:37.880-08:37.935
Tick 6188(6186), Delay 44 ms, IGT 05:09.300, RTA 08:39.435-08:39.479
Tick 6251(6249), Delay 55 ms, IGT 05:12.450, RTA 08:42.579-08:42.634
Tick 6252(6250), Delay 45 ms, IGT 05:12.500, RTA 08:42.634-08:42.679
Tick 6260(6258), Delay 15386 ms, IGT 05:12.900, RTA 08:43.032-08:58.418
Tick 6281(6279), Delay 55 ms, IGT 05:13.950, RTA 08:59.415-08:59.470
Tick 6283(6281), Delay 55 ms, IGT 05:14.050, RTA 08:59.516-08:59.571
Tick 6287(6285), Delay 59 ms, IGT 05:14.250, RTA 08:59.716-08:59.775
Tick 6288(6286), Delay 42 ms, IGT 05:14.300, RTA 08:59.775-08:59.817
Tick 6298(6296), Delay 55 ms, IGT 05:14.800, RTA 09:00.267-09:00.322
Tick 6301(6299), Delay 58 ms, IGT 05:14.950, RTA 09:00.415-09:00.473
Tick 6314(6312), Delay 55 ms, IGT 05:15.600, RTA 09:01.065-09:01.120
Tick 6326(6324), Delay 45 ms, IGT 05:16.200, RTA 09:01.671-09:01.716
Tick 6339(6337), Delay 45 ms, IGT 05:16.850, RTA 09:02.320-09:02.365
Tick 6340(6338), Delay 58 ms, IGT 05:16.900, RTA 09:02.365-09:02.423
Tick 6345(6343), Delay 55 ms, IGT 05:17.150, RTA 09:02.620-09:02.675
Tick 6346(6344), Delay 44 ms, IGT 05:17.200, RTA 09:02.675-09:02.719
Tick 6352(6350), Delay 55 ms, IGT 05:17.500, RTA 09:02.969-09:03.024
Tick 6353(6351), Delay 44 ms, IGT 05:17.550, RTA 09:03.024-09:03.068
Tick 6364(6362), Delay 57 ms, IGT 05:18.100, RTA 09:03.570-09:03.627
Tick 6365(6363), Delay 43 ms, IGT 05:18.150, RTA 09:03.627-09:03.670
Tick 6375(6373), Delay 44 ms, IGT 05:18.650, RTA 09:04.122-09:04.166
Tick 6376(6374), Delay 55 ms, IGT 05:18.700, RTA 09:04.166-09:04.221
Tick 6381(6379), Delay 45 ms, IGT 05:18.950, RTA 09:04.424-09:04.469
Tick 6384(6382), Delay 45 ms, IGT 05:19.100, RTA 09:04.574-09:04.619
Tick 6403(6401), Delay 56 ms, IGT 05:20.050, RTA 09:05.517-09:05.573
Tick 6422(6420), Delay 55 ms, IGT 05:21.000, RTA 09:06.469-09:06.524
Tick 6435(6433), Delay 65 ms, IGT 05:21.650, RTA 09:07.121-09:07.186
Tick 6436(6434), Delay 42 ms, IGT 05:21.700, RTA 09:07.186-09:07.228
Tick 6437(6435), Delay 45 ms, IGT 05:21.750, RTA 09:07.228-09:07.273
Tick 6440(6438), Delay 56 ms, IGT 05:21.900, RTA 09:07.372-09:07.428
Tick 6441(6439), Delay 41 ms, IGT 05:21.950, RTA 09:07.428-09:07.469
Tick 6442(6440), Delay 57 ms, IGT 05:22.000, RTA 09:07.469-09:07.526
Tick 6455(6453), Delay 45 ms, IGT 05:22.650, RTA 09:08.128-09:08.173
Tick 6459(6457), Delay 44 ms, IGT 05:22.850, RTA 09:08.327-09:08.371
Tick 6461(6459), Delay 45 ms, IGT 05:22.950, RTA 09:08.425-09:08.470
Tick 6464(6462), Delay 60 ms, IGT 05:23.100, RTA 09:08.570-09:08.630
Tick 6465(6463), Delay 43 ms, IGT 05:23.150, RTA 09:08.630-09:08.673
Tick 6466(6464), Delay 55 ms, IGT 05:23.200, RTA 09:08.673-09:08.728
